N,Time,X_pos,Y_pos,Value
464,39:00,-5.0,1.0275,0.1019784
465,39:03,-5.0,1.0375,0.1014702
466,39:06,-5.0,1.0475,0.1062332
467,39:09,-5.0,1.0575,0.1027864
468,39:12,-5.0,1.07,0.1046676
469,39:14,-5.0,1.08,0.10272880000000001
470,39:17,-5.0,1.09,0.1027066
471,39:20,-5.0,1.1,0.1015702
472,39:22,-5.0,1.11,0.1043064
473,39:36,-6.0,0.4675,0.01203446
474,39:38,-6.0,0.4775,0.01464496
475,39:40,-6.0,0.49,0.01091851
476,39:43,-6.0,0.5,0.01173286
477,39:45,-6.0,0.5075,0.01038455
478,39:47,-6.0,0.5175,0.010820476
479,39:50,-6.0,0.5275,0.010314438
480,39:52,-6.0,0.54,0.011688918
481,39:56,-6.0,0.55,0.01163534
482,39:58,-6.0,0.56,0.006564574
483,40:01,-6.0,0.5675,0.009440168
484,40:04,-6.0,0.5775,0.01172082
485,40:07,-6.0,0.5875,0.01022461
486,40:10,-6.0,0.6,0.007388828
487,40:13,-6.0,0.61,0.009114968
488,40:15,-6.0,0.62,0.00983925
489,40:17,-6.0,0.6275,0.01280928
490,40:20,-6.0,0.6375,0.011343192
491,40:23,-6.0,0.6475,0.01178918
492,40:26,-6.0,0.66,0.01239382
493,40:29,-6.0,0.67,0.01359868
494,40:32,-6.0,0.68,0.01200218
495,40:35,-6.0,0.6875,0.01265898
496,40:37,-6.0,0.6975,0.0131775
497,40:40,-6.0,0.7075,0.01461484
498,40:43,-6.0,0.72,0.014664720000000001
499,40:46,-6.0,0.73,0.0182207
500,40:49,-6.0,0.74,0.02081084
501,40:52,-6.0,0.75,0.02492196
502,40:54,-6.0,0.7575,0.02678658
503,40:57,-6.0,0.7675,0.03577084
504,41:00,-6.0,0.7775,0.0434094
505,41:02,-6.0,0.79,0.05255758
506,41:05,-6.0,0.8,0.06827438
507,41:08,-6.0,0.81,0.07453226
508,41:10,-6.0,0.8175,0.08445526
509,41:13,-6.0,0.8275,0.08803824
510,41:15,-6.0,0.8375,0.09281110000000001
511,41:18,-6.0,0.85,0.09859484
512,41:21,-6.0,0.86,0.09944154
513,41:24,-6.0,0.87,0.10210368
514,41:26,-6.0,0.8775,0.102479
515,41:29,-6.0,0.8875,0.10396319999999999
516,41:32,-6.0,0.8975,0.1025696
517,41:34,-6.0,0.91,0.1075786
518,41:37,-6.0,0.92,0.1051272
519,41:40,-6.0,0.93,0.103483
520,41:43,-6.0,0.9375,0.1064268
521,41:46,-6.0,0.9475,0.1027732
522,41:49,-6.0,0.9575,0.1061118
523,41:52,-6.0,0.97,0.1061066
524,41:55,-6.0,0.98,0.10311820000000001
525,41:57,-6.0,0.99,0.10757080000000001
526,42:00,-6.0,1.0,0.104271
527,42:02,-6.0,1.0075,0.105153
528,42:05,-6.0,1.0175,0.1049332
529,42:08,-6.0,1.0275,0.1069004
530,42:11,-6.0,1.0375,0.107616
531,42:14,-6.0,1.0475,0.1066354
532,42:17,-6.0,1.0575,0.1072212
533,42:20,-6.0,1.07,0.1061458
534,42:23,-6.0,1.08,0.1059198
535,42:25,-6.0,1.09,0.1056822
536,42:28,-6.0,1.1,0.1081332
